id,sinner,identity,grade,min_speed,max_speed,hp_coeffic,hp_const,atk1Lv,atk2Lv,atk3Lv,atkDLv,atkLv_mean,defLv,skill1_type,skill1_sin,skill1_coin,skill2_type_,skill2_sin,skill2_coin,skill3_type,skill3_sin,skill3_coin,slash_coinCnt,pierce_coinCnt,blunt_coinCnt,def_type,def_sin,simpSinCnt_wrath,simpSinCnt_lust,simpSinCnt_sloth,simpSinCnt_gluttony,simpSinCnt_gloom,simpSinCnt_pride,simpSinCnt_envy,sinCnt_wrath,sinCnt_lust,sinCnt_sloth,sinCnt_gluttony,sinCnt_gloom,sinCnt_pride,sinCnt_envy,resist_slash,resist_pierce,resist_blunt,burn,burn_cnt,bleed,bleed_cnt,tremor,tremor_cnt,tremor_burst,amplitude_conversion,amplitude_entangle,tremor_selfCnt,rupture,rupture_cnt,sinking,sinking_cnt,poise,poise_cnt,poise_give,poise_cnt_give,charge,charge_cnt,charge_barrier,discard,special_keyword,atkWeight,aggro,haste,bind,protect,fragile,paralyze,power_up,power_down,Pcoin_drop,offLv_up,offLv_down,defLv_up,defLv_down,damage_up,damage_down,battlePassive_sin,battlePassive_sinCnt,battlePassive_type,battlePassive,supportPassive_sin,supportPassive_sinCnt,supportPassive_type,supportPassive,etc,info
101003,이상,검계 살수,∅∅∅,3,7,2.28,66,5,5,5,5,5,-4,참격,오만,1,참격,분노,2,참격,질투,3,6,0,0,참격,오만,1.3,0,0,0,0,1,0.7,2,0,0,0,0,3,1,내성,취약,보통,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,오만,4,보유,합 승리 시 호흡 횟수 1 증가,오만,3,보유,정신력이 가장 높은 아군 1명 스킬 효과로 얻는 호흡 횟수 +1,,https://baslimbus.info/identity/78
101004,이상,개화 E.G.O::동백,∅∅∅,3,7,2.28,66,4,3,5,-2,3.8,-4,관통,탐식,3,타격,나태,3,관통,오만,3,0,6,3,회피,,0,0,1.3,1,0,0.7,0,0,0,2,3,0,1,0,보통,내성,취약,,,,,,,,,,1,,,12.5,8,,,,,,,,,침잠쇄도,4,,,,,,,,,,,,,,,,나태,4,보유,2명 이상을 공격할 때 피해량 +30%,나태,3,공명,정신력이 가장 낮은 아군 1명이 2명 이상을 공격할 때 피해량 +10%,,https://baslimbus.info/identity/79
101006,이상,W사 3등급 정리 요원,∅∅∅,3,7,2.73,79,3,3,5,0,3.3,-2,참격,나태,1,관통,탐식,2,관통,우울,3,1,5,0,회피,,0,0,1,1.3,0.7,0,0,0,0,3,2,1,0,0,보통,내성,취약,,,,,,,,,,,26,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,탐식,4,보유,"턴 종료 시 충전 횟수 5 당 다음 턴에 신속 1 얻음(최대 2). 자신이 스킬로 충전 횟수 소모 시, 현재 체력 비율이 가장 낮은 아군 1명에게 충전 역장 3 부여",탐식,4,보유,"충전 횟수가 가장 높은 아군 1명 파열이 있는 대상에게 가하는 피해량이 대상의 파열에 비례해 증가 (파열 1 당 1.5%, 최대 15%)",,https://baslimbus.info/identity/81
101009,이상,약지 점묘파 스튜던트,∅∅∅,3,7,2.4,70,3,3,3,1,3,-2,관통,우울,3,관통,색욕,1,관통,나태,4,0,8,0,방어,,0,1.3,0.7,0,1,0,0,0,2,1,0,3,0,0,보통,내성,취약,4,21,13,28,4,21,,,,,4,21,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,색욕,4,보유,적중시 대상의 출혈이 6 이상이라면 정신력 2 회복. 대상이 보유한 부정적인 효과 1개당 정신력 1 추가 회복(최대 3). 이미 정신력이 최대인 경우 다음 턴에 공격 레벨 증가 1 얻음. (턴 당 발동 횟수 최대 4회),색욕,4,보유,정신력이 가장 낮은 아군 공격 적중 시 대상이 보유한 부정적 효과 1개당 정신력 2 회복(최대 6). (턴 당 발동 횟수 최대 2회),,https://baslimbus.info/identity/100
101002,이상,남부 세븐 협회 6과,∅∅,5,8,2.82,82,0,0,0,2,0,2,관통,우울,1,관통,탐식,2,타격,나태,3,0,3,3,방어,,0,0,0.7,1.3,1,0,0,0,0,1,2,3,0,0,보통,내성,취약,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,탐식,4,공명,합 진행 시 대상의 합 위력 -2,탐식,3,공명,최대 체력이 가장 높은 아군 1명 합 위력 +1,,https://baslimbus.info/identity/77
101005,이상,어금니 사무소 해결사,∅∅,4,7,2.51,73,-2,2,5,0,0.5,-2,관통,색욕,2,타격,나태,1,타격,분노,3,0,2,4,방어,,1,0.6,1.4,0,0,0,0,0.9,1.9,3.3,0,0,0,0,내성,취약,보통,,,,,4,10,4,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,나태,3,보유,적에게 진동 폭발 시 입히는 흐트러짐 손상 4 당 방어 레벨 감소 1 부여 (턴마다 적 하나 당 최대 5),나태,3,보유,최대 체력이 가장 낮은 아군 1명이 적에게 진동 폭발 시 입히는 흐트러짐 손상 4 당 다음 턴에 방어 레벨 감소 1 부여 (턴마다 적 하나 당 최대 3),,https://baslimbus.info/identity/80
101007,이상,피쿼드호 일등 항해사,∅∅,4,7,2.39,69,2,2,2,-3,2,-3,관통,오만,2,관통,질투,2,관통,탐식,2,0,6,0,회피,,0,0,0,0.7,0,1,1.3,0,0,0,1,0,3,2,취약,내성,보통,,,14,4,,,,,,,,,,,1,1,,,,,,,,,,,3,,,,,,,,,,,,,오만,4,보유,크리티컬 적중 시 스킬로 부여하는 출혈 위력 +2 (턴 당 최대 6회),오만,4,보유,호흡 위력이 가장 높은 아군 1명 크리티컬 적중 시 스킬로 부여하는 출혈 위력 +2 (턴 당 최대 6회),,https://baslimbus.info/identity/82
101008,이상,남부 디에치 협회 4과,∅∅,4,6,2.82,82,-1,-1,3,3,-0.3,3,관통,탐식,2,타격,색욕,3,타격,나태,4,0,2,7,방어,,0,1.4,1,0.6,0,0,0,0,3.3,0.9,1.9,0,0,0,보통,취약,내성,,,,,,,,,,,,,12,2,,,,,,,,1,탐구한 지식,,15.5,,,,,,,,,,,,,,,나태,3,보유,피격 시 공격자에게 침잠 1 부여 (최대 4회),나태,4,보유,속도가 가장 높은 아군 1명 스킬을 버릴 때 최대 체력의 (3×버린 스킬 등급)% 만큼 보호막 얻음 (턴 당 최대 1회),,https://baslimbus.info/identity/86
101001,이상,LCB 수감자,∅,4,8,2.48,72,0,0,0,-2,0,-2,참격,우울,1,관통,질투,2,참격,나태,3,4,2,0,방어,,0,0,0.7,0,1,0,1.3,0,0,1,0,3,0,2,취약,내성,보통,,,,,,,,,,,,,8,2,,,,,,,,,,,,,,,1,,,,,,,,,,,우울,4,공명,조작 패널에서 자신의 뒤에 있는 아군 2명에게 피해량 증가 1 부여,우울,4,보유,정신력이 가장 낮은 아군 1명 이번 턴에 정신력이 감소한 경우 턴 종료 시 정신력 10 회복,,https://baslimbus.info/identity/76
102004,파우스트,쥐는 자,∅∅∅,4,7,2.28,66,4,4,4,0,4,-1,관통,질투,2,관통,색욕,3,타격,오만,3,0,5,3,회피,,0,1.3,0,0,0,0.7,1,0,2,0,0,0,1,3,취약,보통,내성,,,6,,,,,,,,,,,,,,,,,,,,"주시, 못, 정신력 회복, 정신력 감소",,,,,,,2,,,,,,,,10,,색욕,4,공명,전투 시작 시 정신력이 가장 낮은 아군 2명의 정신력 15 회복. 대상이 N사 광신도면 광신 1 부여,색욕,3,공명,전투 시작 시 정신력이 가장 낮은 아군 1명의 정신력 15 회복. 대상이 N사 광신도면 광신 1 부여,,https://baslimbus.info/identity/10
